experiment_id,model,architecture,optimizer,dataset_subjects,train_slices,test_slices,epochs,train_accuracy,test_accuracy,auc,precision,recall,specificity,f1_score,notes
1,CNN,5-layer CNN,Adam,1067,72367,20102,50,0.92,0.90,0.97,0.87,0.93,0.87,0.90,Full dataset
2,CNN,5-layer CNN,NAdam,1067,72367,20102,50,0.93,0.91,0.97,0.90,0.90,0.91,0.90,Full dataset
3,CNN,5-layer CNN,RMSprop,1067,72367,20102,50,0.94,0.91,0.97,0.90,0.90,0.91,0.90,Full dataset
4,Skip-CNN,Skip-connected CNN,Adam,1067,72367,20102,50,0.91,0.90,0.97,0.90,0.88,0.91,0.89,Full dataset
5,Skip-CNN,Skip-connected CNN,NAdam,1067,72367,20102,50,0.93,0.91,0.98,0.93,0.88,0.94,0.90,Full dataset
6,Skip-CNN,Skip-connected CNN,RMSprop,1067,72367,20102,50,0.93,0.91,0.97,0.93,0.87,0.94,0.90,Full dataset
7,CNN,5-layer CNN,Adam,533,40431,5054,30,0.94,0.92,0.98,0.91,0.94,0.91,0.92,Half dataset (early runs)
8,CNN,5-layer CNN,NAdam,533,40431,5054,30,0.94,0.92,0.98,0.93,0.91,0.94,0.92,Half dataset (early runs)
9,CNN,5-layer CNN,RMSprop,533,40431,5054,30,0.93,0.91,0.98,0.97,0.84,0.97,0.90,Half dataset (early runs)
10,ViT-Keras,Custom ViT (TF/Keras),RMSprop,1067,72367,20102,100,0.597,0.616,0.619,0.587,0.694,NA,0.636,From-scratch ViT; GPU/session constrained
11,CNN,5-layer CNN,NAdam,300,2400,300,5,NA,0.80,0.88,0.84,0.75,0.85,0.79,Small subset LIME experiment
